epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
57,9194.95,1.15552,0.88344,0.00956,0.83197,0.81465,0.82755,0.61618,1.36232,1.27223,0.0162,0.00989391,0.00329797,0.00989391,0.00329797,0.00989391,0.00329797,0.00989391,0.00329797
58,9356.89,1.14407,0.86572,0.00904,0.82735,0.81848,0.83772,0.62514,1.34395,1.32366,0.01559,0.00952846,0.00317615,0.00952846,0.00317615,0.00952846,0.00317615,0.00952846,0.00317615
59,9518.24,1.14285,0.86462,0.00906,0.82366,0.79986,0.82882,0.62365,1.34032,1.29679,0.01556,0.00916556,0.00305519,0.00916556,0.00305519,0.00916556,0.00305519,0.00916556,0.00305519
60,9678.26,1.11841,0.83289,0.00886,0.83416,0.81277,0.82865,0.61146,1.36717,1.27445,0.01606,0.00880559,0.0029352,0.00880559,0.0029352,0.00880559,0.0029352,0.00880559,0.0029352
61,9838.7,1.12767,0.84474,0.00892,0.81653,0.81323,0.82064,0.61536,1.35554,1.33064,0.0157,0.00844888,0.00281629,0.00844888,0.00281629,0.00844888,0.00281629,0.00844888,0.00281629
62,9999.6,1.13291,0.84331,0.00863,0.83236,0.79822,0.8254,0.6183,1.38336,1.35671,0.01655,0.00809579,0.0026986,0.00809579,0.0026986,0.00809579,0.0026986,0.00809579,0.0026986
63,10159.8,1.11136,0.81085,0.0086,0.8456,0.80625,0.83033,0.627,1.38266,1.36079,0.01672,0.00774668,0.00258223,0.00774668,0.00258223,0.00774668,0.00258223,0.00774668,0.00258223
64,10320.5,1.10165,0.79051,0.00856,0.8323,0.80585,0.82588,0.62354,1.34055,1.33655,0.01548,0.00740188,0.00246729,0.00740188,0.00246729,0.00740188,0.00246729,0.00740188,0.00246729
65,10480.9,1.08946,0.7958,0.00839,0.85537,0.80293,0.82839,0.62143,1.32377,1.31335,0.01474,0.00706174,0.00235391,0.00706174,0.00235391,0.00706174,0.00235391,0.00706174,0.00235391
66,10642.3,1.11905,0.79637,0.00844,0.85232,0.79379,0.83185,0.62878,1.32458,1.356,0.01512,0.00672659,0.0022422,0.00672659,0.0022422,0.00672659,0.0022422,0.00672659,0.0022422
